20260601 040100;30546.25;30551.75;30543.5;30550;753
20260601 040200;30550.25;30556.75;30549.5;30555.75;697
20260601 040300;30555.75;30558.75;30554.75;30556.25;381
20260601 040400;30557;30559.5;30553.25;30556.25;502
20260601 040500;30557;30559.25;30556.25;30558;223
20260601 040600;30558.5;30560.75;30556;30556.75;407
20260601 040700;30556.5;30557.25;30552.25;30557;406
20260601 040800;30556.25;30559.25;30555.5;30558.5;162
20260601 040900;30558.25;30563;30557.25;30563;374
20260601 041000;30562.5;30563;30556;30558.25;343
20260601 041100;30557.25;30562;30554;30558.25;366
20260601 041200;30558;30558;30554;30556;183
20260601 041300;30556.5;30562.25;30555.25;30558.25;272
20260601 041400;30559;30564.75;30556.75;30558;518
20260601 041500;30557.75;30559;30554.5;30557.75;237
20260601 041600;30558.75;30558.75;30554.75;30556.25;207
20260601 041700;30556;30560;30556;30557;157
20260601 041800;30557;30557.75;30550.75;30553.5;299
20260601 041900;30553.5;30556.5;30553.25;30553.75;215
20260601 042000;30553.5;30555.5;30550.75;30555.5;224
20260601 042100;30555.5;30557;30552;30555;230
20260601 042200;30555;30556;30551.75;30554;152
20260601 042300;30554;30554;30549.5;30550.5;166
20260601 042400;30551;30559;30551;30557.75;354
20260601 042500;30557.25;30563.75;30556;30563.75;520
20260601 042600;30564;30564.75;30560.5;30563.75;281
20260601 042700;30563.25;30567.25;30563.25;30565.75;428
20260601 042800;30565.75;30565.75;30558;30560.75;442
20260601 042900;30560.75;30560.75;30555;30557.75;321
20260601 043000;30557.75;30562.25;30557.75;30561.75;164
20260601 043100;30561.25;30566.5;30560.75;30562.75;364
20260601 043200;30562.75;30563;30558;30558.5;229
20260601 043300;30558.5;30558.5;30555.5;30555.75;165
20260601 043400;30557.25;30559.5;30551.5;30552.5;402
20260601 043500;30553.25;30554.75;30550.5;30551.25;267
20260601 043600;30551.25;30559.5;30551.25;30556.75;407
20260601 043700;30556;30561.75;30554.5;30561.75;317
20260601 043800;30562;30562;30559.5;30560;200
20260601 043900;30560.75;30564.25;30559.25;30560;265
20260601 044000;30560.5;30565;30559;30564.75;242
20260601 044100;30564.75;30569;30562.75;30565.75;488
20260601 044200;30566;30567;30564.75;30565.25;197
20260601 044300;30565.5;30567.75;30564.75;30566.25;134
20260601 044400;30566.25;30574.5;30565;30572.75;1200
20260601 044500;30572.75;30581;30572.5;30579.25;793
20260601 044600;30579.25;30580.75;30576.25;30578.25;466
20260601 044700;30577.75;30580.25;30574.5;30576.5;329
